2119000,842,2500
2116000,259,8200
2112000,298,7100
2112000,285,7400
2094000,461,4500
2075000,220,9400
2069000,932,2200
2065000,376,5500
2059000,277,7400
2035000,673,3000
2005000,492,4100
2002000,158,12700
1988000,401,5000
1967000,148,13300
1955000,1080,1800
1944000,751,2600
1941000,142,13600
1931000,285,6800
1931000,1958,1000
1923000,298,6500
1923000,1357,1400
1912000,1972,1000
1897000,137,13800
1896000,218,8700
1881000,142,13200
1871000,142,13100
1862000,207,9000
1861000,148,12600
1860000,324,5700
1860000,1546,1200
1856000,148,12600
1854000,363,5100
1849000,179,10300
1846000,259,7100
1838000,161,11400
1827000,466,3900
1824000,130,14100
1820000,492,3700
1806000,181,10000
1796000,712,2500
1776000,1220,1500
1770000,155,11400
1765000,1999,900
1762000,142,12400
1761000,220,8000
1749000,220,7900
1747000,220,7900
1734000,2344,700
1732000,453,3800
1729000,127,13600
1728000,168,10300
1726000,894,1900
1716000,207,8300
1715000,544,3200
1702000,246,6900
1698000,324,5200
1696000,155,10900
1694000,158,10700
1693000,166,10200
1685000,181,9300
1685000,168,10000
1684000,479,3500
1666000,363,4600
1665000,158,10500
1661000,259,6400
1657000,1566,1100
1647000,168,9800
1646000,155,10600
1643000,91,18100
1641000,194,8400
1640000,712,2300
1637000,96,17100
1635000,111,14700
1625000,2041,800
1619000,596,2700
1611000,181,8900
1610000,153,10500
1606000,117,13800
1600000,311,5100
1600000,179,9000
1598000,350,4600
1596000,492,3200
1593000,233,6800
1587000,1204,1300
1571000,181,8700
1567000,140,11200
1567000,389,4000
1564000,363,4300
1561000,272,5700
1558000,57,27300
1547000,1178,1300
1547000,1756,900
1543000,324,4800
1543000,370,4200
1542000,220,7000
1532000,1829,800
1525000,75,20300
1513000,132,11500
1499000,376,4000
1498000,101,14800
1493000,130,11800
1489000,104,14400
1488000,1355,1100
1481000,127,11700
1477000,124,11900
1470000,622,2400
1466000,1334,1100
1458000,207,7000
1455000,75,19400
1449000,466,3100
1439000,228,6300
1435000,382,3800
1430000,122,11700
1422000,246,5800
1415000,420,3400
1412000,130,10900
1409000,1321,1100
1398000,389,3600
1397000,109,12800
1388000,1414,1000
1387000,168,8200
1377000,262,5300
1369000,324,4200
1357000,466,2900
1342000,181,7400
1340000,518,2600
1334000,324,4100
1331000,127,10500
1325000,91,14600
1325000,285,4700
1323000,427,3100
1322000,220,6000
1310000,544,2400
1310000,1919,700
1300000,394,3300
1300000,324,4000
1300000,65,20100
1290000,233,5500
1274000,246,5200
1274000,414,3100
1271000,124,10200
1265000,96,13200
1264000,285,4400
1260000,168,7500
1259000,207,6100
1250000,233,5400
1249000,96,13000
1247000,622,2000
1246000,233,5300
1244000,73,17200
1241000,233,5300
1239000,98,12600
1233796,233,4700
1228000,298,4100
1225000,104,11800
1218000,453,2700
1217000,161,7600
1216000,130,9400
1209000,88,13700
1203000,368,3300
1200000,298,4000
1200000,106,11300
1200000,350,3400
1199000,130,9300
1196000,194,6200
1195000,181,6600
1190000,83,14400
1187000,1412,800
1182000,207,5700
1179000,70,16900
1179000,57,20700
1176000,111,10600
1175000,57,20600
1172000,350,3400
1164000,114,10200
1162000,376,3100
1160000,194,6000
1159000,492,2400
1152000,57,20200
1150000,453,2500
1150000,298,3900
1148000,492,2300
1147000,91,12700
1144000,150,7600
1143000,453,2500
1142000,130,8800
1141000,492,2300
1139000,285,4000
1134000,60,19000
1133000,158,7200
1130000,98,11500
1130000,583,1900
1122000,194,5800
1119526,285,2500
1119000,704,1600
1117000,52,21600
1112000,109,10200
1110000,181,6100
1108000,85,13000
1106000,60,18600
1105000,233,4700
1101000,1373,800
1100000,272,4000
1100000,135,8200
1092000,150,7300
1091000,233,4700
1089000,414,2600
1087000,104,10500
1085000,85,12700
1080000,80,13500
1079000,1287,800
1078000,75,14400
1074000,202,5300
1072000,228,4700
1069000,130,8300
1068000,85,12500
1068000,720,1500
1061000,130,8200
1060000,220,4800
1055000,85,12300
1055000,207,5100
1055000,114,9300
1050000,474,2200
1050000,414,2500
1048000,104,10100
1047000,62,16800
1044000,259,4000
1044000,88,11900
1040000,83,12500
1040000,132,7900
1036000,91,11400
1036000,233,4400
1034000,117,8900
1033000,91,11400
1025000,83,12400
1020000,337,3000
1015000,168,6000
1014000,70,14500
1014000,1458,700
1010000,207,4900
1001000,83,12100
1000000,259,3900
1000000,194,5100
1000000,389,2600
1000000,104,9700
1000000,324,3100
